Country,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Kiribati,KIR,-157.36432,1.85776,28.06.2020,"Foreign travel advice, Gov.UK/ 
 US State Dept. COVID-19 Country Specific Information/ 
 Kayak/","Latest News: Tarawa  is closed. Extremely limited international flights to other Pacific island countries. 
  
  
  International Restrictions:
 Commercial flights to and from Kiribati remain very limited. Check with your travel company for the latest information. Kiribati will now deny entry to any travellers who have been in or transited countries with confirmed local transmission within 14 days immediately prior to entering Kiribati. A list of countries covered by these restrictions is available from the Kiribati Ministry of Health and Medical Services website. Kiribati medical officials issued a travel advisory requiring travelers úfrom countries with ongoing local transmission of novel coronavirusù to spend at least 14 days in a country free of the virus before traveling to Kiribati, and to provide a medical clearance to confirm that they are virus-free.
  
  
  Internal Restrictions:
  A state of emergency has been declared. The public are urged to minimise public gatherings and maintain social distances of two metres.",20200628,"Quarantine requirement outside territory.
Travelers úfrom countries with ongoing local transmission of novel coronavirusù to spend at least 14 days in a country free of the virus before traveling to Kiribati, and to provide a medical clearance to confirm that they are virus-free.","COVID-19 negative certification required for entering the country
Travelers úfrom countries with ongoing local transmission of novel coronavirusù to spend at least 14 days in a country free of the virus before traveling to Kiribati, and to provide a medical clearance to confirm that they are virus-free.",1
Kosovo,RKS,20.966191,42.467542,13.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/ 
  OSCA Travel Advisories/","Latest News
  
  
 International Restrictions: 
 *Coronavirus travel health: Check the latest information on risk from COVID-19 for Kosovo on the TravelHealthPro website.
 See the TravelHealthPro website for further advice on travel abroad and reducing spread of respiratory viruses during the COVID-19 pandemic.
*Entry to Kosovo: International flights and land border crossings are permitted. A previous ban on flights to/from the UK has been lifted, but you should check with your travel operator. All foreign citizens transiting through Kosovo will be asked to sign a declaration.
You should check our advice on the Kosovo/Serbia border below and our advice recommending all but essential travel to northern Kosovo.
There are some restrictions for entry into neighbouring countries.
*Testing / screening on arrival: A negative RT-PCR test, that is less than 72 hours old, is required for all foreign nationals entering Kosovo from countries with a high number of COVID-19 cases, marked as red or orange on the official ECDC map.
You should arrange to take a private test. There are medical staff at border crossings and the airport and you may be subject to a health check, particularly if you are displaying coronavirus symptoms. You should follow the instructions of the medical staff on the border.
 
 
 Internal Restrictions: 
*Travel in Kosovo: Movement and activity in Kosovo are currently restricted. From 7 April, there is a 10pm to 5am curfew, with exceptions for emergencies only. Public transport and taxi services are permitted to operate in Kosovo at half capacity. When outside, you are obliged to keep your mouth and nose covered and maintain a distance of 2m from other people. 
*Public spaces and services: All gatherings of more than 10 people are prohibited. Cafes, bars, restaurants and shopping centres are closed between 7 and 18 April, except for takeaway food and drink. Only essential food shops and pharmacies are permitted to open. Hotels should serve food and drink in rooms only. Workplaces and businesses face a number of restrictions and may be operating with reduced opening hours and capacity.


 ",20210413,"Self-isolation at own accommodation- subject to PCR.

As of 23 December, UK nationals travelling to Kosovo will be required to self-isolate for 14 days. A negative RT-PCR test is required for all other foreign nationals entering Kosovo from countries with a high number of Covid-19 cases, marked as red or orange  on the official ECDC map. Those without will be required to self-isolate for 7 days.","COVID-19 negative certification required for entering the country. 

As of 23 December, UK nationals travelling to Kosovo will be required to self-isolate for 14 days.
A negative RT-PCR test, that is less than 72 hours old, is required for all other foreign nationals entering Kosovo from countries with a high number of Covid-19 cases, marked as red or orange  on the official ECDC map. ",2
Kuril Islands,"RUS, JPN",147.877949,45.076156,,,,,,,3
Kuwait,KWT,47.492598,29.53972,16.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/ 
  OSAC Travel Advisories/
  Kuwait News Agency/","Latest News: Government extends entry ban of foreign nationals until further notice . Curfew will be in effect from 6:00 p.m. to 5:00 a.m. daily until April 8 and new entry requirements . Government reduces quarantine for vaccinated travelers and night curfew . Travelers to Kuwait from Bahrain, Bangladesh, India, Nepal, Philippines, Sri Lanka, Turkey, United Arab Emirates will be required to show negative COVID-19 test for entry .  
  
  
  International Restrictions: 
 Only Kuwaitis and their first-degree relatives are allowed to enter Kuwait until further notice. You should follow @Kuwait_dgca on Twitter for details of the latest measures.
 
 
 Internal Restrictions:
*Public places and services: The Kuwait Government has imposed a nationwide curfew from until 22 April 2021 between 7pm to 5am. With limited exceptions, during these hours you should not go out. The wearing of face masks in public is required. Penalties for not wearing a mask in public are a fine of 5000 KD or a prison sentence of three months. Follow the official Kuwait News Agency and  @CGCKuwaitfor the latest details, including the exceptions to travel during curfew hours.",20210416,"Self-isolation at own accommodation.

On entry to Kuwait you will need to undergo a further PCR test at the airport and then self-isolate for 14 days in your home.","COVID-19 negative certification required for entering the country.  

Travelers must have a negative PCR test, conducted no more than 96 hours before acceptance on the flight to Kuwait. ",4
Kyrgyzstan,KGZ,74.523246,41.462046,19.02.2021,"SITATA/
 US State Dept. COVID-19 Country Specific Information/ 
 OSAC Travel Advisories/
 Ministry of Health/","Latest News
  
  
 International Restrictions: 
 There are now regular flights to and from Kyrgyzstan, operated by a range of airlines. Tickets are available online and at local travel agents. However, there may be reduced flights on some routes. Check with your airline or local travel agent on status of flights to Kyrgyzstan before travelling.
 *Entry to Kyrgyzstan: British Passport holders are able to enter Kyrgyzstan. A negative PCR test from no more than 72 hours before your arrival by air is now needed for foreign citizens to enter Kyrgyzstan. If your journey is delayed and your results are outside the 72 hour period you will need to have a further PCR test on arrival. Requirements could change at short notice. Check with your airline before travel. For any questions on entry or exit requirements you should contact the relevant Kyrgyz authorities on +996 312 881 618.
 If you fly into Kyrgyzstan you will be asked to complete a questionnaire for entering the Kyrgyz Republic whilst on board your flight and hand this in on arrival. You will have your temperature taken when entering Kyrgyzstan. You should comply with any additional screening measures and other restrictions put in place by the authorities. 
 Passengers may have their temperature tested on arrival. However if youre showing symptoms of Coronavirus you may be taken to state medical facilities. Youre likely to be subject to temperature checks, and other medical observation on arrival, and could be asked to self-isolate at home.
  
  
  Internal Restrictions: 
 *Travel in Kyrgyzstan: Inter-regional public transport services are operating, though some services may be reduced or suspended. Transport providers may have additional hygiene requirements. You should check with your transport provider before travel. In Bishkek, public transport and taxi services continue to operate as usual.
 *Public places and services: Most businesses and public spaces in Kyrgyzstan have now reopened. Businesses may be following additional hygiene and sanitary requirements. You should comply with hygiene and social distancing requirements.
 Local authorities may introduce new restrictions if the Coronavirus situation deteriorates. You should follow local government announcements and media reporting for further information.
 Taxi services and city public transport are able to operate as normal. Internal flights between Bishkek, Osh, Jalalabad and Batken are operating, though with a reduced service.
 *Face covering requirements: Some businesses and other organisations need visitors to wear a face mask. You should comply with any additional screening measures and other restrictions.
 *Accommodation: Accommodation including major hotels are operating as usual. You should check in advance with your accommodation provider and comply with any additional screening measures and other restrictions.",20210219,"Quarantine requirement at government designated site- if displaying symptoms.

If youre showing symptoms of Coronavirus you may be taken to state medical facilities. Youre likely to be subject to temperature checks, and other medical observation on arrival, and could be asked to self-isolate at home.","COVID-19 negative certification required for entering the country.  

A negative PCR test from no more than 72 hours before your arrival by air, or 120 hours by land, is now needed for foreign citizens to enter Kyrgyzstan. If your journey is delayed and your results are outside the 72 hour period you will need to have a further PCR test on arrival.",5
Lao People's Democratic Republic,LAO,101.990197,20.274828,14.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/ 
  OSAC Travel Advisories/
 Lao Government/","Latest News
  
   
  International Restrictions: 
*Entry and borders: The government of the Lao PDR has suspended the visa on arrival service at all international entry points. No visas are being issued to people travelling from or transiting a country with ongoing COVID-19 outbreak. However, the authorities may consider granting entry permission for foreigners  who wish to travel to Laos. 
*Travel in Laos: There are no national travel restrictions within Laos and taxis, public transport and domestic flights have resumed services. You will need to wear a mask on an aeroplane. Temperature checks are in operation in some locations. 
*Thailand land border: The Thai government has announced that all Thailand-Laos border crossings are restricted until further notice, including the Friendship Bridge between Vientiane and Nong Khai. Commercial goods are permitted to cross at present and there have been exemptions for medical emergencies at the discretion of the Laos and Thai medical authorities. If you want to travel to Thailand, you must apply for permission to travel via the Royal Thai Governments online platform. You should keep up to date with the latest information on the websites of the Thai Ministry of Foreign Affairs, the Royal Thai Embassy in Vientiane, and the Thai Ministry of Public Health. 
*Accommodation: Hotels and private rental accommodation is available throughout Laos, although a number of hotels/hostels are currently closed due to reduced tourist numbers. You should arrange accommodation in advance of travel. 
*Public places and services:  Most businesses including restaurants, shops, food markets, gyms/spas, sports facilities, night markets, cinemas, casinos and tourist attractions are open. In some locations COVID preventative measures are in place. These may include providing alcohol gel, face masks being worn, and checking temperatures. Social gatherings, weddings and traditional events are permitted as long as appropriate COVID-19 prevention measures are in place. Further measures may be introduced at short notice. You should follow the advice of the Lao authorities. 
     
 Internal Restrictions: *Travel in Laos: There are no national travel restrictions within Laos and taxis, public transport and domestic flights have resumed services. You will need to wear a mask on an aeroplane. Temperature checks are in operation in some locations. Local lockdowns are in force in the southern part of the Xayaboury province covering Kenethao and Boten, close to the Thai border. The provincial Vice Governor has issued an order for the period 11 to 18 April. You should consult with local authorities before considering travel to those areas.
*Thailand land border: The Thai government has announced that all Thailand-Laos border crossings are restricted until further notice, including the Friendship Bridge between Vientiane and Nong Khai. Commercial goods are permitted to cross at present and there have been exemptions for medical emergencies at the discretion of the Laos and Thai medical authorities.
If you want to travel to Thailand, you must apply for permission to travel via the Royal Thai Governments online platform. You should keep up to date with the latest information on the websites of the Thai Ministry of Foreign Affairs, the Royal Thai Embassy in Vientiane, and the Thai Ministry of Public Health.
*Accommodation: Hotels and private rental accommodation is available throughout Laos, although a number of hotels/hostels are currently closed due to reduced tourist numbers. You should arrange accommodation in advance of travel.
*Public places and services: Most businesses including restaurants, shops, food markets, gyms/spas, sports facilities, night markets, cinemas, casinos and tourist attractions are open. In some locations COVID preventative measures are in place. These may include providing alcohol gel, face masks being worn, and checking temperatures.
Social gatherings, weddings and traditional events are permitted as long as appropriate COVID-19 prevention measures are in place. On 13 April, a notice from the Prime Ministers Office ordered the temporary closure of some entertainment venues, such as karaoke bars and drinking establishments, in Vientiane Capital province. These additional COVID-19 prevention measures have been introduced with immediate effect and are expected to remain in place until the end of April. Further measures may be introduced at short notice. You should follow the advice of the Lao authorities.
 

 
 ",20210414,"Quarantine requirement at government designated site.
All arrivals testing negative for COVID-19 will have to undergo 14 days quarantine at designated locations .","COVID-19 negative certification required for entering the country.  

All entrants must provide a Health declaration form, and a fit to fly certificate issued no more than 72 hours prior to travel. All arrivals will be subject to a free COVID-19 test. Positive cases will be admitted to hospitals for treatment. Negative cases will be subject to 14-day self-quarantine requirement at their own expense at designated locations. ",6
Latvia,LVA,26.424619,56.641966,16.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/ 
  Re-open Europe/
 Latvian Government/","Latest News: 
  
  
International Restrictions: 
*From within the EU: Latvia adopts its own national classification of risk areas, hence travel restrictions for Latvia are not based on the common ""EU Traffic Lights"" map.From 11 February, only essential travel to Latvia is permitted. Entry to Latvia from EU Member States, the European Economic Area or the Swiss Confederation is permitted for the following urgent and essential reasons only:work;training, studies;family reunion;in order to receive medical services;transit;accompanying a minor;return to one's permanent place of residence;attending a funeral.Is a coronavirus test required?All travellers are subject to the requirement for a pre-departure negative PCR test.The test must be taken within 72 hours prior to arrival.Accepted test: molecular Children aged 11 and under are exempted.Travellers who have already contracted the COVID-19 coronavirus will need to show a doctor's note attesting it.If a traveller is unable to show a test result , or a note from the doctor, the traveller will not be allowed to board the plane, train, bus, ferry, or other means of transportation. The test result or the note from the doctor must be in English, French, Russian, or in an official language of the country from which they are beginning their trip to Latvia.This requirement also applies to those arriving in Latvia in a personal vehicle.The negative COVID-19 test results must be indicated in the Covidpass.lv form, which will be checked by the State Border Guard and police officers.Persons entering Latvia to perform their job duties or travelling to or from their place of work, and employees of commercial transport companies are exempt from the COVID-19 test requirement.Is a quarantine required?All passengers arriving from countries in which the 14-day cumulative number of COVID-19 cases has exceeded the threshold of 50 per 100,000 inhabitants must complete a 10-day mandatory quarantine.Data on the incidence of COVID-19 cases in the EU and third countries is updated every Friday on the website of Latvias Centre for Disease Prevention and Control.Particular groups of persons  who intend to work in Latvia have to self-isolate for 14 days.Mandatory Travel DocumentationAll travellers must fill in an electronic confirmation form on the Covidpass.lv website. Electronic confirmation must be completed no earlier than 48 hours before crossing the Latvian border.Documents proving the purpose of entry will have to be presented to the State Border Guard or the State Police. It will not be possible to complete registration with the covidpass.lv website without entering a self-certification that any of the above-mentioned reasons exist.Find out more:Latvian Centre for Disease Prevention and Controlcovid19.gov.lvLatvia TravelDocuments you need to travel in Europe

*Transit: Entry is allowed to foreigners transiting through the territory of Latvia on their return to their country of residence. Quarantine does not apply to persons who cross the territory in transit. Persons crossing Latvia in transit must leave Latvia within 12 hours from the submission of the certification questionnaire on the Covidpass.lv.

*From Third Countries: All travellers arriving from outside the EU+ area or the United Kingdom are subject to double test and mandatory isolation.Is a coronavirus test required?Travellers entering Latvia will be asked to show proof of a negative PCR test performed no earlier than 72 hours before boarding or crossing the Latvian border. If a traveller is unable to show a test result , he will not be allowed to board the plane, train, bus, ferry, or other means of transportation. The test result must be in English, French, Russian or in an official language of the country of departure.This requirement also applies to those arriving in Latvia in a personal vehicle.The negative COVID-19 test results must be indicated in the Covidpass.lv form, which will be checked by the State Border Guard and Police officers.After entering Latvia, an additional Covid-19 test must be taken at the nearest point of testing. Children and vaccinated persons are also subject to this obligation.Is a quarantine required?In the case of negative result to the COVID-19 test performed in Latvia, 10-day self-isolation at the traveller's residence or tourism accommodation is mandatory.If the test result is positive, or if it is not performed at all, the person must notify it at Covidpass.lv and undergo 10-day isolation at a freely selected Latvian tourist accommodation that is suitable for the reception of Covid-19 patients, and in which all the necessary safety protocols are in place .If the test result is positive, the tourism service provider must ensure the transport of the concerned traveller to the tourist accommodation for isolation, and must inform the Police in case the traveller leaves the tourist accommodation during the isolation period.The isolation may be avoided or interrupted if a person can prove that he or she has been ill with Covid-19, has recovered and is not infectious.Mandatory Travel DocumentationAll travellers must fill in an electronic confirmation form on the Covidpass.lv website. Electronic confirmation must be completed no earlier than 48 hours before crossing the Latvian border.Documents proving the purpose of entry will have to be presented to the Border Guard or the Police.Find out more:Latvian Centre for Disease Prevention and Controlcovid19.gov.lvLatvia TravelEkonomikas ministrija 
  
  Internal Restrictions: 
 *Travel in Latvia: There has been a sharp rise in the number of COVID-19 cases in Latvia in recent weeks. The Latvian government announced on 5 February 2021 that the State of Emergency will be extended to 6 April 2021. This includes restrictions on the opening of catering, retail, entertainment and leisure establishments and limits on the number of people allowed to gather at private and public events both indoors and outdoors. See the Latvian governments COVID-19 website for full details. 
 Face masks must be worn: 
 * On public transport; 
 * In taxis by passengers and by the driver, if a special barrier, such as a separating wall, is not installed; 
 * At bus stations, railway stations, ports, and airports; 
 * In shops, pharmacies, post offices, petrol stations, and other indoor points of sale; 
 * In open air markets; 
 * In museums, libraries, exhibition halls, concert halls, cinemas and similar places; 
 * In churches; 
 * In any other public place; 
 * In workplaces; 
 * When providing and receiving services; 
 * When attending events where personalised, fixed seating is required. 
 * In medical institutions. 
 The using of a face mask does not substitute social distancing and disinfection requirements. Wearing a face mask is not obligatory for: 
 * children under 13 years of age, except on public transport where it must be worn by anyone of 7 years of age and above; 
 * anyone with certain medical conditions, for example, if a person has difficulty wearing a mask due to a movement disorder or if the person has a mental health disorder. 
 From 20 November 2020, the fine for not wearing a face mask when required is 50 Euros.",20210416,"Self-isolation at own accommodation- subject to category.

All passengers arriving from countries in which the 14-day cumulative number of COVID-19 cases has exceeded the threshold of 50 per 100,000 inhabitants must complete a 10-day mandatory quarantine.

","COVID-19 negative certification required for entering the country.  

All travellers are subject to the requirement for a pre-departure negative PCR test taken within 72 hours prior to arrival. Accepted test: molecular . Children aged 11 and under are exempted. Travellers who have already contracted the COVID-19 coronavirus will need to show a doctor's note attesting it.

",7
Lebanon,LBN,35.894185,33.921586,16.04.2021,"Foreign travel advice, Gov.UK/ 
  OSAC Travel Advisories/ 
  US State Dept. COVID-19 Country Specific Information/
 Ministry of Public Health/","Latest news: As from 23MAR21, thre is no need to complete the electronic form . Authorities to ease COVID-19 lockdown in four stages starting 8 February . 
 
 
 International Restrictions: 
*Entry to Lebanon:  Beiruts Rafik Hariri international airport re-opened on 1 July 2020 and there are direct and indirect commercial flights operating daily. Passengers travelling to Lebanon, except military personnel, diplomats, members of international organizations, UNIFIL and members of the Lebanese National Social Security Fund or staff cooperative, need to possess an insurance policy that is valid for the duration of their stay in Lebanon, covering all costs of treatment for Coronavirus on Lebanese territory. Alternatively, the policy can be obtained at the insurance counters upon arrival at Rafik Hariri International Airport-Beirut. 
*Certificate requirements and measures within Lebanon: If youre travelling to Lebanon, you are required to take a PCR test at a laboratory certified by local authorities 96 hours before you travel, and to show the result at check-in at your departure airport. If you do not have a negative PCR test result within this time frame and in an approved form , you will not be allowed to board your flight to Lebanon. Children under 12 are exempt from this requirement. The government has announced that you are exempt from this requirement if you have received both doses of the COVID-19 vaccine more than 15 days prior to your departure to Lebanon. However, you must have received the second dose of the vaccine in one of the following places: Lebanon, US, Canada, Australia, New Zealand, European countries , Asian countries, Egypt, Algeria, Morocco or Tunisia. As there is currently no means to certify vaccinations for international travel, all travellers should continue to obtain a PCR test as stated above. Check with your local Lebanese embassy or airline if you are unclear whether your vaccine is recognised. Any passenger who shows symptoms of illness including COVID-19 will not be allowed to board the aircraft.
Passengers who left Lebanon for a period not exceeding one week are not required to do a PCR test before departure, but will be subject to a PCR test in Lebanon. 
*Self-isolation requirements and tests after arrival: From Monday 11 January 2021, all travellers to Lebanon will be required to take an additional PCR test at Beirut International Airport upon arrival  and then to quarantine for 72 hours. Travellers will also be required to download and activate the úCovid Leb Trackù mobile application on arrival to Lebanon, and to present the application to the authorities at Beirut International Airport at the time of the PCR test.
Diplomats and their families, official delegations and UNFIL officers are exempt from the quarantine measures, as well as those who have received the COVID-19 vaccination, on the condition that they have proof of vaccination and take a PCR test on arrival as a precautionary measure. The Lebanese government is keeping these measures under review and they may change at short notice. You must comply with any amended regulations for testing and self-isolation. You should check with your airline and the Embassy of Lebanon in the country you are travelling from before travel. 
*Transit passengers: There are no testing or additional COVID-19 related procedures required for transiting travellers. Passengers with a short transit time will be allowed to proceed directly to their gate, those with a longer transit time will have to wait at a designated gate where a cafeteria is available.
 
 
 Internal Restrictions:
 *Travel in Lebanon: During the month of Ramadan, from Monday 12 April to Wednesday 12 May 2021, there is a nation-wide curfew in place between 9.30pm and 5am. All religious and social gatherings and events are prohibited. Places of worship may open at 30% capacity for prayer. You must apply online via this platform to undertake certain activities such as going to the bank or going food shopping. Certain activities e.g. going to clothes shops, the hairdressers or veterinary clinics do not require this authorisation. Contact the Lebanese embassy for further details. Restaurants, cafes and gyms are open between 6am and 9pm, in keeping with the curfew. Restaurants and cafes are restricted to 50% capacity. Gyms are restricted to 30% capacity and cannot deliver exercise classes. Supermarket, pharmacy and restaurant delivery services are operating 24/7. Hotels are also open 24/7.
Beirut International airport remains open. All passengers are required to have their tickets with them when transferring to and from the airport. Some exemptions to COVID-19 restrictions are applied to aid workers. For further clarification, aid workers should contact the United Nations for advice.
Taxis continue to operate. Given the curfew, you are advised to book taxis ahead of time. Taxis and private cars should have no more than four people in them . Buses are allowed to operate with a maximum capacity of 50%.
Fabric masks covering the mouth and nose must be worn when outside the home and in vehicles .
Lebanese authorities may issue fines, impose road blocks, or imprison those violating these measures for up to three years. You should comply with all measures introduced by the Lebanese authorities and obey the instructions of the security forces. These measures may be changed at short notice.
Keep up to date with information from your tour operator, transport or accommodation provider on the impact on any existing travel plans.
*Accommodation: Hotels and private rentals are available. You should check that accommodation is open and receiving guests before booking, and request information on the measures being taken to prevent the spread of COVID-19.
 
 


",20210416,"Quarantine requirement at government designated site- pending PCR result.

From Monday 11 January 2021, all travellers to Lebanon will be required to take an additional PCR test at Beirut International Airport upon arrival  and then to quarantine for 72 hours. Travellers will also be required to download and activate the úCovid Leb Trackù mobile application on arrival to Lebanon, and to present the application to the authorities at Beirut International Airport at the time of the PCR test.
Diplomats and their families, official delegations and UNFIL officers are exempt from the quarantine measures, as well as those who have received the COVID-19 vaccination, on the condition that they have proof of vaccination and take a PCR test on arrival as a precautionary measure.","COVID-19 negative certification required for entering the country.  

If youre travelling to Lebanon, you are required to take a PCR test at a laboratory certified by local authorities 96 hours before you travel, and to show the result at check-in at your departure airport. If you do not have a negative PCR test result within this time frame and in an approved form , you will not be allowed to board your flight to Lebanon. Children under 12 are exempt from this requirement. The government has announced that you are exempt from this requirement if you have received both doses of the COVID-19 vaccine more than 15 days prior to your departure to Lebanon. ",8
Lesotho,LSO,28.247043,-29.58314,14.04.2021,"Foreign travel advice, Gov.UK/ 
  OSAC Travel Advisories/ 
  US State Dept. COVID-19 Country Specific Information/
 Ministry of Health/","Latest news: 
 
 
 International Restrictions: 
*International Travel: Lesotho reverted to úBlue Levelù restrictions on 22 March. Movement across the Lesotho border remains prohibited except for: * essential goods and services; *business people and truck drivers; *migrant workers/pensioners; *        medical emergencies ; *funerals for parents, children, siblings and grandparents; * students; * daily commuting students and teachers; * diplomats. The South African Government announced that its land border between South Africa and Lesotho is open. However Lesotho has not yet eased restrictions on its border. Crossing the land border between South Africa and Lesotho is therefore still restricted to the categories listed above.  Limited passenger air services between Johannesburg and Moshoeshoe International Airport have restarted. The categories of persons allowed entry and the COVID-19 PCR test requirements are the same as for the land borders. 
*Entry to Lesotho: Movement across the border is restricted to those providing essential goods and services, those with medical emergencies  and certain other limited categories. Those permitted to enter Lesotho must present a negative COVID-19 PCR test taken within 72 hours. This should show: * the name of the traveller ; * a serial number which is not duplicated; * clear and visible proof that the certificate was issued within 72 hours; 
* the date on which the swab was taken and the date the results were provided to the traveller; * the name of the testing laboratory approved by the Minister responsible for health 
The border crossing points at Maseru Bridge, Caledonspoort , Maputsoe Bridge, Qachas Nek Bridge and Vanrooyens Gate  remain open to those providing essential goods and services, those with medical emergencies and limited other categories of traveller, but this is subject to change at short notice. Their hours of operation are reduced due to the COVID-19 related curfew in South Africa. Limited passenger air services between Johannesburg and Moshoeshoe International Airport have restarted. The categories of persons allowed entry and the COVID-19 PCR test requirements are the same as for the land borders. If you wish to enter or exit Lesotho, youll need a negative PCR COVID-19 test taken within 72 hours of travel. 
Truck drivers, Basotho students studying in South Africa and others who cross the border daily are permitted to cross for 14 days before a further test is required. 
*Transiting via South Africa: All visitors to Lesotho must travel through, or transit via, South Africa. 
*Screening on arrival and departure:  Everyone entering Lesotho will be screened for coronavirus. Individuals entering or leaving Lesotho must provide evidence of a negative PCR COVID-19 test, taken within 72 hours of travel. You should comply with any additional screening measures. 
*Quarantine requirements:  Travellers showing symptoms of coronavirus will be required to self-isolate at their permanent or temporary residence or may be placed in an isolation facility in a government hospital at their own expense. 
*Data collection: Travellers entering Lesotho may be required to provide details of where they will be staying to aid the Governments efforts to tackle COVID-19. If you need further information about entry requirements, contact the local immigration authorities or the nearest Lesotho Embassy. 
 
 
Internal Restrictions: 
*Travel in Lesotho: COVID-19 regulations in Lesotho are managed by Lesothos National COVID-19 Secretariat . Travellers should be aware that the information on the NACOSEC website is not always up to date. The NACOSEC Twitter feed and Facebook page generally have more current information. Lesotho is under úBlue Levelù restrictions. A curfew is in place from 10pm to 4am. Public transport can now operate at full seated capacity. Masks must be worn at all times. Eating in the vehicle is prohibited. Anyone leaving their place of residence must wear a face covering. This includes while walking in the street, and in shops and public offices. 
*Accommodation:  Hotels are permitted to open at full occupancy. Conferences and workshops are permitted at 50% of the conference facility. Not all hotels have yet re-opened. 
*Public places and services:  Lesotho returned to úBlue Levelù restrictions on 22 March 2021, resulting in further relaxation of restrictions on day to day activities and the opening of a greater variety of business and retail outlets. An overnight curfew remains in place from 10pm to 4am. Supermarkets, grocery shops, hardware stores, cafes and clothing stores are permitted to operate normally but must observe COVID-19 Protocols on sanitisation and social distancing. Hair salons may operate an appointment-only service between 8am and 8pm. Off licenses can operate Monday to Friday between 8am and 8pm with take-out service only. All over the counter essential service providers are permitted to operate with 50% maximum staff capacity. Digital payment methods are encouraged. Fuel stations may operate 24 hours. Schools and colleges are permitted to open on a rotational basis to reduce numbers on site and in school transport. Textile and manufacturing industries can operate at 50% capacity for both a day and night shift. Other businesses, public and private institutions and NGOs may operate between 8am and 4pm with 50% of staff on rotation. Hotels and hotel restaurants may open at 100% capacity. Conferences and workshops can be held but numbers are restricted to 50% of the conference venue capacity. Restaurants and fast food outlets may operate with 50% seated capacity between 6am and 9pm. Covid-19 protocols must be observed . Alcohol is only permitted to be sold as take-out. Church services are permitted indoors only and with numbers limited to 50% capacity of the church. The service should not last more than two hours and one hour must be allowed for disinfection between services. All people must wear masks all times, including when singing. Weddings are permitted with a maximum of 50 guests and a maximum length of 2 hours, and pre-packed food only. Funerals are restricted to a maximum of 50 family members and 10 attendants for a maximum of 2 hours. Only immediate family members may view the deceased at the mortuary. Night vigils and buffets are not permitted. Gyms may operate outside with not more than 100 people and must observe social distancing. Contact and non-contact sports are permitted with no spectators. Contact sports are only allowed with police permits and players and technical teams must be tested for COVID-19 prior to training camps. Public parks and recreational areas are permitted to reopen. The entertainment industry is permitted to operate with a maximum of 120 people inside and 500 people outside. Screening and registration at the entrance is mandatory. Staff must ensure that attendees observe COVID-19 protocols including wearing masks, sanitising hands and practicing social distancing. Event organisers may be arrested for non-compliance. Nightclubs remain closed. Social and family gatherings are not permitted. Political rallies and other gatherings are banned. Drinking in public is not allowed.",20210414,"Self-isolation at own accommodation- subject to screening.

Travellers showing symptoms of coronavirus will be required to self-isolate at their permanent or temporary residence or may be placed in an isolation facility in a government hospital at their own expense. ","COVID-19 negative certification required for entering the country. 

Everyone entering Lesotho will be screened for coronavirus. Individuals entering or leaving Lesotho must provide evidence of a negative PCR COVID-19 test, taken within 72 hours of travel. ",9
Liancourt Rock,"KOR, JPN",131.864842,37.241642,,,,,,,10
